PropertyID,Region,PropertyType,SizeSqm,Bedrooms,Bathrooms,YearBuilt,PropertyAge,HasGarage,HasPool,SecurityLevel,ProximityToAmenities_km,SalePrice,MonthlyRental,PricePerSqm,GrossRentalYield,NetROI,SaleDate
PROP-00530,Sandton,House,283.8,2.0,1,2003.0,21.0,1,0,2,2.03,5497000.0,31900.0,19369.27,6.96,-3.84,2022-08-09
PROP-00495,Cape Town CBD,Apartment,162.9,2.0,1,2003.0,21.0,0,0,1,1.31,3456000.0,14400.0,21215.47,5.0,-5.8,2020-02-09
PROP-00395,Umhlanga,House,157.0,6.0,3,2019.0,5.0,1,0,3,3.55,3708000.0,20600.0,23617.83,6.67,-4.13,2019-08-25
PROP-01865,Durban North,House,259.3,5.0,4,2013.0,11.0,1,0,1,3.48,3708000.0,15800.0,14300.04,5.11,-5.69,2023-08-13
PROP-01491,Waterfront,House,367.3,4.0,3,1987.0,37.0,0,1,2,1.02,14867000.0,78400.0,40476.45,6.33,-4.47,2023-08-06
PROP-00484,Fourways,House,335.8,5.0,3,1986.0,38.0,1,0,3,2.21,4359000.0,24600.0,12980.94,6.77,-4.03,2022-07-28
PROP-01092,Rosebank,House,246.8,5.0,4,2015.0,9.0,1,0,1,1.04,6111000.0,22400.0,24760.94,4.4,-6.4,2022-09-03
PROP-00788,Stellenbosch,Apartment,120.7,2.0,1,2020.0,4.0,0,0,2,1.72,2349000.0,8900.0,19461.47,4.55,-6.25,2023-11-26
PROP-00614,Sandton,Apartment,111.6,2.0,1,1982.0,42.0,0,0,1,1.65,2141000.0,12000.0,19184.59,6.73,-4.07,2022-08-18
PROP-01008,Stellenbosch,House,316.3,3.0,2,2001.0,23.0,0,1,2,0.69,7071000.0,24100.0,22355.36,4.09,-6.71,2024-02-14
PROP-01234,Port Elizabeth,Apartment,129.6,1.0,1,1979.0,45.0,0,0,2,3.69,821000.0,4400.0,6334.88,6.43,-4.37,2021-11-18
PROP-01456,Menlyn,House,391.7,4.0,3,2015.0,9.0,0,0,1,2.89,4719000.0,26400.0,12047.49,6.71,-4.09,2023-07-17
PROP-01358,Soweto,Apartment,87.0,3.0,2,1993.0,31.0,0,0,3,1.72,462000.0,3200.0,5310.34,8.31,-2.49,2021-06-22
PROP-01850,Durban North,House,285.1,3.0,2,2023.0,1.0,0,0,3,4.57,4002000.0,17100.0,14037.18,5.13,-5.67,2019-12-26
